x_value,y_value,heading_value
-7.5,-7.5,1.5708
-7.5,-7.45,1.55681
-7.4993,-7.4,1.54283
-7.4979,-7.35002,1.52884
-7.49581,-7.30007,1.51486
-7.49301,-7.25015,1.50087
-7.48952,-7.20027,1.48689
-7.48533,-7.15044,1.4729
-7.48044,-7.10068,1.45892
-7.47486,-7.051,1.44493
-7.46858,-7.00139,1.43095
-7.46161,-6.95188,1.41696
-7.45395,-6.90247,1.40298
-7.4456,-6.85317,1.38899
-7.43656,-6.804,1.37501
-7.42683,-6.75495,1.36102
-7.41642,-6.70605,1.34704
-7.40532,-6.6573,1.33305
-7.39355,-6.6087,1.31907
-7.38109,-6.56028,1.30508
-7.36796,-6.51203,1.2911
-7.35416,-6.46398,1.27711
-7.33969,-6.41612,1.26313
-7.32454,-6.36846,1.24914
-7.30874,-6.32103,1.23516
-7.29227,-6.27382,1.22117
-7.27514,-6.22684,1.20719
-7.25736,-6.18011,1.1932
-7.23892,-6.13363,1.17922
-7.21984,-6.08742,1.16523
-7.20011,-6.04148,1.15125
-7.17975,-5.99581,1.13726
-7.15874,-5.95044,1.12328
-7.13711,-5.90536,1.10929
-7.11484,-5.86059,1.09531
-7.09195,-5.81614,1.08132
-7.06844,-5.77201,1.06734
-7.04432,-5.72821,1.05335
-7.01959,-5.68476,1.03936
-6.99425,-5.64165,1.02538
-6.96831,-5.59891,1.01139
-6.94178,-5.55653,0.99741
-6.91465,-5.51453,0.983425
-6.88694,-5.47291,0.96944
-6.85866,-5.43168,0.955455
-6.82979,-5.39085,0.94147
-6.80036,-5.35043,0.927485
-6.77037,-5.31042,0.9135
-6.73982,-5.27084,0.899515
-6.70872,-5.23169,0.88553
-6.67708,-5.19298,0.871545
-6.6449,-5.15471,0.85756
-6.61218,-5.1169,0.843575
-6.57894,-5.07955,0.82959
-6.54518,-5.04267,0.815605
-6.51091,-5.00626,0.80162
-6.47614,-4.97033,0.787635
-6.44086,-4.9349,0.77365
-6.40509,-4.89996,0.759665
-6.36884,-4.86553,0.74568
-6.33211,-4.8316,0.731695
-6.29491,-4.7982,0.71771
-6.25724,-4.76532,0.703725
-6.21912,-4.73296,0.68974
-6.18055,-4.70115,0.675755
-6.14154,-4.66987,0.66177
-6.10209,-4.63914,0.647785
-6.06222,-4.60897,0.6338
-6.02193,-4.57936,0.619815
-5.98123,-4.55032,0.60583
-5.94013,-4.52185,0.591846
-5.89863,-4.49395,0.577861
-5.85675,-4.46664,0.563876
-5.81449,-4.43992,0.549891
-5.77186,-4.41379,0.535906
-5.72887,-4.38826,0.521921
-5.68553,-4.36333,0.507936
